trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.55762902167072,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-32.157717142473594,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-84.26190165556294,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-112.16283860137915,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-112.6722212766618,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-129.67934222746882,"{0: 21, 1: 3, 2: 10, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,14,-28.667381251004002,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-34.24028649587548,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,11,19.480925680289193,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-45.210153587060795,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-18.955253347033885,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-4.817118119591615,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-50.90968536445696,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-39.048275642983235,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,17,-32.51606648072176,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,-33.9725068172668,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,-28.75787517526078,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-23.689142024811375,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,14,16.68149341161896,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,8,16.527579086833725,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,20.5244638091249,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,20,15.103974973011518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,29.873829558823086,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,9,38.17455610627265,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,13.165215508300935,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,22,11.872887852236385,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,15,26.855820458894534,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,7,39.886790550844246,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,3,14.419081798401221,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,0,43.510301313060936,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
