trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",25,0,-119.18919145294069,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.95}",20,9,-77.31527582900507,"{0: 4, 1: 4, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.9, 'e': 0.9025}",25,0,-143.0743427950728,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.8573749999999999}",25,0,-176.35304848217962,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.8145062499999999}",20,0,-136.42760561251805,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.7737809374999999}",25,0,-155.76685538240912,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.9, 'e': 0.7350918906249998}",25,0,-96.128107035319,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
8,False,"{'a': 0.9, 'e': 0.6983372960937497}",35,13,-72.34436520274143,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.9, 'e': 0.6634204312890623}",20,0,-47.982443687523265,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.6302494097246091}",20,8,-15.548003458691701,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.5987369392383786}",25,0,-30.963141416848643,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.5688000922764596}",30,0,-152.6854132336246,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.5403600876626365}",25,19,10.260105727574654,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.5133420832795047}",25,3,-101.4276250802199,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.9, 'e': 0.48767497911552943}",20,10,-41.81837989592983,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.46329123015975293}",25,20,8.210432218097647,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.44012666865176525}",30,14,-2.3122760758080894,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.41812033521917696}",20,0,-80.4464542546549,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
