trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-420.87055060534317,"{0: 15, 1: 2, 2: 10, 3: 0, 4: 8}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.30204698655959,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.02280847292263,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.4405248257436,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.54571914905082,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.62491812868504,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.6855092711652,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.79573103089747,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.099028248241154,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,11,-54.55444485350218,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.7493690703339,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.15400629846553,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.74457197088572,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.6165993099703,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.15516811227638,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.23703542298051,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.3077488456967,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,1,-72.82536422718756,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.0163004889372,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.9638730660489,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.6015992590101,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.31949202298924,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-64.21442549050028,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.63486768060099,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.83381325127914,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-158.01949361060247,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,7,-107.61676101889431,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.60158959833582,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.78654517733288,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-72.05815034108532,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
